title,url
FRAUNHOFERINSTITUT FÜR OFFENE KOMMUNIKATIONSSYSTEME,https://www.fokus.fraunhofer.de/go/asct
Navigation,https://www.inno.tu-berlin.de/menue/research/parameter/maxhilfe/
FRAUNHOFERINSTITUT FÜR OFFENE KOMMUNIKATIONSSYSTEME,https://www.fokus.fraunhofer.de/dps
FRAUNHOFERINSTITUT FÜR OFFENE KOMMUNIKATIONSSYSTEME,https://www.fokus.fraunhofer.de/de/fokus/fokus_friends
FRAUNHOFERINSTITUT FÜR OFFENE KOMMUNIKATIONSSYSTEME,https://www.fokus.fraunhofer.de/de/fokus/leistungszentrum_digitale_vernetzung
FRAUNHOFERINSTITUT FÜR OFFENE KOMMUNIKATIONSSYSTEME,https://www.fokus.fraunhofer.de/de/fokus/fraunhofer_gesellschaft
Navigation,https://www.inno.tu-berlin.de/menue/research/?type=1
FRAUNHOFERINSTITUT FÜR OFFENE KOMMUNIKATIONSSYSTEME,https://www.fokus.fraunhofer.de/de/fokus/projekte
FRAUNHOFERINSTITUT FÜR OFFENE KOMMUNIKATIONSSYSTEME,https://www.fokus.fraunhofer.de/de/fokus/kuratorium
FRAUNHOFERINSTITUT FÜR OFFENE KOMMUNIKATIONSSYSTEME,https://www.fokus.fraunhofer.de/de/fokus/mitgliedschaften
FRAUNHOFERINSTITUT FÜR OFFENE KOMMUNIKATIONSSYSTEME,https://www.fokus.fraunhofer.de/de/fokus/ueber_fokus
FRAUNHOFERINSTITUT FÜR OFFENE KOMMUNIKATIONSSYSTEME,https://www.fokus.fraunhofer.de/de/fokus/international
Recommend page,https://www.inno.tu-berlin.de/servicemenue/seite_empfehlen/id/7353/
FRAUNHOFERINSTITUT FÜR OFFENE KOMMUNIKATIONSSYSTEME,https://www.fokus.fraunhofer.de/de/fokus/organisation
FRAUNHOFER INSTITUTE FOR OPEN COMMUNICATION SYSTEMS,https://www.fokus.fraunhofer.de/en
Main navigation,http://www.bmz.de/en/index.html
Nominate your favourite inventor,https://www.epo.org/index.html
Navigation,https://www.inno.tu-berlin.de/menue/teaching/parameter/maxhilfe/
Service menu,https://www.bmwi.de/Navigation/EN/Home/home.html
 ,https://www.wipo.int/portal/en/
Cooperation with US institutions on artificial photosynthesis is expanded,https://www.bmbf.de/en/index.html
